"","term","estimate","std.error","statistic","p.value","OR","LL","UL"
"1","(Intercept)",-2.14108934252342,0.0386784143169467,-55.3561820031829,0,0.117526746381416,0.108946424647266,0.126782830732833
"2","DRKMONTHLY",-0.257429468876202,0.0580268989686895,-4.43638163423324,9.14836008913993e-06,0.77303614749896,0.689932031817649,0.866150371023762
"3","DRKWEEKLY",-0.347044851754358,0.0785136749400122,-4.4201835160501,9.86171169538719e-06,0.70677362750971,0.605965845757786,0.824351675990174
