"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",7.11502182176396,0.0175379753680157,405.69231467503,0
"2","DRKMONTHLY",-0.0113075360511929,0.024893512981349,-0.454236252619904,0.649664549666062
"3","DRKWEEKLY",0.0525814840196703,0.0320906572966299,1.63852935555771,0.101329685969647
