"","term","estimate","std.error","statistic","p.value","OR","LL","UL"
"1","DRKMONTHLY",-0.093242855558328,0.0607448340637995,-1.5349923494794,0.124785707293801,0.910972238758266,0.808719836487313,1.02615316497342
"2","DRKWEEKLY",-0.14274199464486,0.080977135893669,-1.76274442247864,0.077943604847411,0.866977724937841,0.739739500584806,1.01610144509543
"3","AGE2",0.226367244798941,0.141448159744268,1.60035482404439,0.109519890982114,1.25403611896578,0.950401123443729,1.65467669269212
"4","AGE5",0.148757549015205,0.0671166756082489,2.21640222295101,0.0266639675947877,1.16039161701069,1.01735779039077,1.32353506067072
"5","MALE",-0.735725444033159,0.0867256214672415,-8.48336894663893,2.18765589965576e-17,0.479157730744749,0.404255707409945,0.567937883681216
"6","OTHRACE",0.331915935124065,0.112505502590373,2.95021956688248,0.0031754817186976,1.39363568777684,1.11784771117407,1.73746424564875
"7","NEVERMAR",-0.083025207431453,0.189037422159147,-0.439199849866528,0.660516733835762,0.920327947824068,0.635375856709532,1.33307478180317
"8","LOWED",-0.0657316067516634,0.0588438638074994,-1.11705116724994,0.263972448201462,0.936382149215234,0.834380638374163,1.05085315867043
"9","INC1",0.585193816490974,0.151302094474429,3.86771788271494,0.000109858656490921,1.79533891821051,1.33461346596002,2.4151126250796
"10","INC2",0.423474023257363,0.120157437210015,3.52432635956776,0.000424560977537151,1.52725808025765,1.20679181553787,1.93282487806124
"11","INC3",0.500836999953382,0.102117522240524,4.90451578695505,9.36580891819084e-07,1.65010182800945,1.35078601501398,2.01574195508083
"12","INC4",0.0490954110147722,0.0971787618290843,0.505207208763577,0.613413307669598,1.05032055810979,0.868163722106234,1.27069727367977
"13","OVWT",0.086631630084598,0.0692745584123361,1.25055477898465,0.211096957849188,1.09049490020694,0.952041641188088,1.24908310301777
"14","OBESE",0.246770394685245,0.0725514654034807,3.40131509836335,0.000670624788424134,1.27988521059218,1.11023257732136,1.47546215608699
"15","SMOKER",-0.0713855628691666,0.0650330127376977,-1.097681928978,0.272343403399343,0.931102824234016,0.819672615500234,1.05768138754699
"16","NOEXER",-0.0249724450530437,0.063210992581121,-0.395064909335124,0.692794985133245,0.975336787011492,0.861684581071496,1.10397919261244
"17","FAIRHLTH",0.533404179701121,0.0683146303948759,7.8080519007116,5.80786706570832e-15,1.70472563466396,1.49109016102766,1.94896966356317
"18","POORHLTH",0.788418081183465,0.0908912113064137,8.67430491739779,4.16084063130186e-18,2.19991358749935,1.84093078848619,2.62889828489636
